Lead_Leg_GRF_mag_max_1_1,Lead_Leg_GRF_max_2_1,Lead_Leg_GRF_min_3_1,Lead_Leg_GRF_mag_Midpoint_FS_Release_4_1,Lead_Leg_GRF@Midpoint_FS_Release_5_1,Lead_Leg_GRF@Midpoint_FS_Release_6_1,Lead_Leg_GRF_Mag@Max_Shoulder_Rot_7_1,Lead_Leg_GRF@Max_Shoulder_Rot_8_1,Lead_Leg_GRF@Max_Shoulder_Rot_9_1,Trunk_COG@Footstrike_10_1,Trunk_COG@Release_11_1,Trunk_COG_Translation_12_1,Trunk_COG@Footstrike_13_1,Trunk_COG@Release_14_1,Trunk_COG_Translation_15_1,HEIGHT_16_1,MASS_17_1
91.6252,2341.342,1986.5736,-1236.8799,2269.9106,1931.5685,-1188.3467,2149.6682,1850.7457,-1081.5277,0.1704,0.162,-0.0084,1.5571,1.8887,0.3316,1.9558
91.6252,2601.2446,2227.3486,-1353.7391,2601.2446,2227.3491,-1336.0024,2232.2083,1890.9156,-1169.803,0.1696,0.1715,0.0019,1.5496,1.8487,0.2991,1.9558
91.6252,2447.146,2037.4956,-1353.3409,2442.0044,2031.4608,-1351.592,2241.6709,1884.8342,-1206.0123,0.1892,0.1751,-0.0141,1.56,1.8845,0.3245,1.9558
91.6252,1.9558,91.6252,1797.9547,1579.6528,-857.5944,1603.4078,1409.6093,-763.1099,1797.3121,1579.6531,-855.6964,0.6235,0.6485,0.025,1.5034,1.8156
0.3122,1.905,77.1103,1917.3586,1772.418,-884.782,1777.7477,1563.8362,-841.8013,1820.234,1591.9458,-881.0284,0.6262,0.6463,0.0202,1.6169,1.8819
0.265,1.905,77.1103,1970.676,1901.6074,-857.7571,1659.3164,1498.2211,-710.3252,1750.3381,1557.0918,-798.3054,0.6601,0.6858,0.0258,1.5275,1.8273
0.2999,1.905,77.1103,1692.1892,1477.3654,-821.1562,1560.9779,1394.8478,-693.9684,1673.2572,1466.2958,-801.5891,0.6019,0.6204,0.0185,1.5426,1.853
0.3105,1.905,77.1103,1717.1403,1527.8269,-817.9453,1613.5905,1442.0039,-722.1871,1703.0035,1500.2261,-804.5877,0.4939,0.5382,0.0443,1.5325,1.8378
0.3053,1.905,77.1103,1.905,77.1103,1797.9547,1579.6528,-857.5944,1603.4078,1409.6093,-763.1099,1797.3121,1579.6531,-855.6964,0.6235,0.6485,0.025
1.5034,1.8156,0.3122,1.905,77.1103,1917.3586,1772.418,-884.782,1777.7477,1563.8362,-841.8013,1820.234,1591.9458,-881.0284,0.6262,0.6463,0.0202
1.6169,1.8819,0.265,1.905,77.1103,1970.676,1901.6074,-857.7571,1659.3164,1498.2211,-710.3252,1750.3381,1557.0918,-798.3054,0.6601,0.6858,0.0258
1.5275,1.8273,0.2999,1.905,77.1103,1692.1892,1477.3654,-821.1562,1560.9779,1394.8478,-693.9684,1673.2572,1466.2958,-801.5891,0.6019,0.6204,0.0185
1.5426,1.853,0.3105,1.905,77.1103,1717.1403,1527.8269,-817.9453,1613.5905,1442.0039,-722.1871,1703.0035,1500.2261,-804.5877,0.4939,0.5382,0.0443
1.5325,1.8378,0.3053,1.905,77.1103,1.905,77.1103,2.1049,1.8852,-0.9536,1.572,0.286,0.3407,0.0547,1.3255,1.6901,0.3647
1.8796,86.1821,2.3055,2.0191,-1.1157,1.6267,0.292,0.3331,0.0411,1.4736,1.7964,0.3227,1.8796,86.1821,2.4703,2.1548,-1.208
1.7858,0.3003,0.3386,0.0384,1.4022,1.7176,0.3154,1.8796,86.1821,2.2987,2.0077,-1.123,1.8931,0.3366,0.3851,0.0485,1.3944
1.7186,0.3242,1.8796,86.1821,2.4985,2.2135,-1.1584,1.7749,0.3439,0.3895,0.0456,1.3952,1.7105,0.3153,1.8796,86.1821,2.3057
2.0283,-1.0914,1.6484,0.2775,0.3218,0.0443,1.4241,1.794,0.3699,1.905,86.1821,2.5164,2.2012,-1.2109,1.7509,0.24,0.2951
0.0551,1.4863,1.8217,0.3354,1.905,86.1821,2.4177,2.1066,-1.1935,1.8648,0.222,0.2563,0.0343,1.4647,1.7824,0.3178,1.905
86.1821,2.364,2.0433,-1.1798,1.6946,0.1917,0.2405,0.0488,1.4431,1.7999,0.3568,1.905,86.1821,2.3857,2.0859,-1.1513,1.9451
0.1984,0.2363,0.038,1.4222,1.7717,0.3496,1.905,86.1821,1.8796,86.1821,1.905,86.1821,2.1049,1.8852,-0.9536,1.572,0.286
0.3407,0.0547,1.3255,1.6901,0.3647,1.8796,86.1821,2.3055,2.0191,-1.1157,1.6267,0.292,0.3331,0.0411,1.4736,1.7964,0.3227
1.8796,86.1821,2.4703,2.1548,-1.208,1.7858,0.3003,0.3386,0.0384,1.4022,1.7176,0.3154,1.8796,86.1821,2.2987,2.0077,-1.123
1.8931,0.3366,0.3851,0.0485,1.3944,1.7186,0.3242,1.8796,86.1821,2.4985,2.2135,-1.1584,1.7749,0.3439,0.3895,0.0456,1.3952
1.7105,0.3153,1.8796,86.1821,1.8796,86.1821,1822.8108,1675.5811,-820.2823,1710.6636,1532.4095,-754.3021,1769.348,1585.1301,-786.0192,0.4509,0.5501
0.0992,1.5886,1.9483,0.3597,1.8796,86.1821,1862.843,1755.5767,-878.9839,1846.7229,1670.1166,-784.2839,1770.5892,1600.3657,-754.6218,0.4254,0.5234
0.098,1.6138,1.9453,0.3316,1.8796,86.1821,1880.2299,1755.8698,-894.0483,1835.175,1652.6858,-795.6123,1808.0607,1619.993,-801.9124,0.4707,0.5616
0.0909,1.6161,1.9445,0.3284,1.8796,86.1821,1846.2087,1691.6266,-778.4725,1804.1028,1648.6582,-728.8232,1745.6541,1605.8728,-683.1432,0.3809,0.4864
0.1054,1.5038,1.8064,0.3025,1.8796,86.1821,2109.4341,1980.3385,-935.3808,1913.2373,1707.1324,-858.9723,1787.1548,1586.1104,-822.0939,0.4174,0.5122
0.0948,1.6522,1.9651,0.3129,1.8796,86.1821,1888.0366,1737.0981,-965.5575,1854.1506,1710.129,-711.3579,1733.7156,1546.5221,-783.0635,0.4777,0.558
0.0803,1.6304,1.9556,0.3252,1.8796,86.1821,1.8796,86.1821,1822.8108,1675.5811,-820.2823,1710.6636,1532.4095,-754.3021,1769.348,1585.1301,-786.0192
0.4509,0.5501,0.0992,1.5886,1.9483,0.3597,1.8796,86.1821,1862.843,1755.5767,-878.9839,1846.7229,1670.1166,-784.2839,1770.5892,1600.3657,-754.6218
0.4254,0.5234,0.098,1.6138,1.9453,0.3316,1.8796,86.1821,1880.2299,1755.8698,-894.0483,1835.175,1652.6858,-795.6123,1808.0607,1619.993,-801.9124
0.4707,0.5616,0.0909,1.6161,1.9445,0.3284,1.8796,86.1821,1846.2087,1691.6266,-778.4725,1804.1028,1648.6582,-728.8232,1745.6541,1605.8728,-683.1432
0.3809,0.4864,0.1054,1.5038,1.8064,0.3025,1.8796,86.1821,2109.4341,1980.3385,-935.3808,1913.2373,1707.1324,-858.9723,1787.1548,1586.1104,-822.0939
0.4174,0.5122,0.0948,1.6522,1.9651,0.3129,1.8796,86.1821,1888.0366,1737.0981,-965.5575,1854.1506,1710.129,-711.3579,1733.7156,1546.5221,-783.0635
0.4777,0.558,0.0803,1.6304,1.9556,0.3252,1.8796,86.1821,1.8796,86.1821,2.2027,2.0201,-0.8784,1.6773,0.3343,0.403,0.0687
1.4393,1.7631,0.3239,1.905,85.7285,2.1513,1.9633,-0.9183,1.8875,0.1967,0.2753,0.0785,1.452,1.768,0.316,1.905,85.7285
2.2421,2.0488,-0.9085,1.7648,0.2066,0.292,0.0854,1.4273,1.7558,0.3285,1.905,85.7285,2.1459,1.9619,-0.8992,1.8792,0.2791
0.3696,0.0905,1.4496,1.7707,0.321,1.905,85.7285,1.8839,1.7071,-0.9319,1.8071,0.2385,0.3038,0.0653,1.4232,1.7337,0.3106
1.905,85.7285,1.905,85.7285,2.2027,2.0201,-0.8784,1.6773,0.3343,0.403,0.0687,1.4393,1.7631,0.3239,1.905,85.7285,2.1513
1.9633,-0.9183,1.8875,0.1967,0.2753,0.0785,1.452,1.768,0.316,1.905,85.7285,2.2421,2.0488,-0.9085,1.7648,0.2066,0.292
0.0854,1.4273,1.7558,0.3285,1.905,85.7285,2.1459,1.9619,-0.8992,1.8792,0.2791,0.3696,0.0905,1.4496,1.7707,0.321,1.905
85.7285,1.8839,1.7071,-0.9319,1.8071,0.2385,0.3038,0.0653,1.4232,1.7337,0.3106,1.905,85.7285,1.905,85.7285,2.2095,1.9204
-1.1295,2.0734,0.301,0.3065,0.0056,1.5295,1.9776,0.4481,1.8796,87.9965,2.2092,1.9043,-1.1509,2.0969,0.2813,0.2914,0.0101
1.5402,1.9705,0.4304,1.8796,87.9965,2.1573,1.8574,-1.1262,2.0893,0.2958,0.2982,0.0024,1.5818,1.9924,0.4106,1.8796,87.9965
2.185,1.8833,-1.2104,2.0746,0.3174,0.3258,0.0084,1.5018,1.9732,0.4714,1.8796,87.9965,2.2622,1.9512,-1.176,2.1613,0.3023
0.3236,0.0213,1.6056,2.0074,0.4018,1.8796,87.9965,2.1404,1.9162,-0.9661,1.9748,0.3248,0.3186,-0.0062,1.5494,1.9614,0.4119
1.8542,84.3677,2.3274,2.0427,-1.1384,2.1422,0.3269,0.3368,0.0099,1.5542,1.9654,0.4113,1.8542,84.3677,2.2662,2.0141,-1.0461
2.1365,0.3077,0.3176,0.0099,1.5812,1.9593,0.3782,1.8542,84.3677,2.2117,1.9478,-1.0921,2.1369,0.3033,0.3152,0.0119,1.5797
1.9651,0.3854,1.8542,84.3677,2.2173,1.9757,-1.022,2.0989,0.3353,0.3278,-0.0075,1.5679,1.9791,0.4112,1.8542,84.3677,1.8796
87.9965,2.2095,1.9204,-1.1295,2.0734,0.301,0.3065,0.0056,1.5295,1.9776,0.4481,1.8796,87.9965,2.2092,1.9043,-1.1509,2.0969
0.2813,0.2914,0.0101,1.5402,1.9705,0.4304,1.8796,87.9965,2.1573,1.8574,-1.1262,2.0893,0.2958,0.2982,0.0024,1.5818,1.9924
0.4106,1.8796,87.9965,2.185,1.8833,-1.2104,2.0746,0.3174,0.3258,0.0084,1.5018,1.9732,0.4714,1.8796,87.9965,2.2622,1.9512
-1.176,2.1613,0.3023,0.3236,0.0213,1.6056,2.0074,0.4018,1.8796,87.9965,1.8796,87.9965,2.7671,2.4633,-1.2783,2.6027,0.389
0.4526,0.0636,1.5819,1.868,0.2861,1.8542,90.718,2.4309,2.1178,-1.1892,2.0794,0.2493,0.2854,0.0361,1.5139,1.8327,0.3188
1.8542,90.718,3.1563,2.8271,-1.4509,2.6737,0.3443,0.4101,0.0658,1.6023,1.9211,0.3188,1.8542,90.718,2.8668,2.5839,-1.33
2.823,0.2886,0.3333,0.0447,1.5924,1.876,0.2836,1.8542,90.718,2.4251,2.1899,-1.0442,2.2081,0.2245,0.2682,0.0438,1.4647
